"Longitude","Latitude","Accident_Severity","Weather_Conditions","Light_Conditions","Road_Surface_Conditions","Speed_limit","Urban_or_Rural_Area","Number_of_Casualties","Number_of_Vehicles","Day_of_Week","Month","TimeOfDay","Cluster","DistanceToCenter"
-0.080107,51.650061,"1","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",3,2,"sobota","08","Night",1,17337.8592062164
-0.173845,51.522425,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Night",1,3412.02287138003
-0.052969,51.514096,"0","Fine no high winds","Darkness - lights lit","Dry",30,"Urban",1,3,"niedziela","01","Night",1,6381.15416921023
-0.060658,51.624832,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Night",1,15080.8755445026
-0.353876,51.438762,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Night",1,16164.3618443462
-0.435377,51.525305,"0","Fine no high winds","Darkness - lights lit","Wet or damp",40,"Urban",2,2,"niedziela","01","Night",1,20542.2782435079
-0.15815,51.522,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,2,"niedziela","01","Night",1,2786.13390835444
-0.067992,51.598425,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",4,2,"niedziela","01","Night",1,12180.4997981129
-0.367663,51.548392,"0","Fine no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"niedziela","01","Night",1,16573.3017217188
-0.062676,51.482332,"0","Fine no high winds","Darkness - no lighting","Wet or damp",30,"Urban",3,1,"niedziela","01","Morning",1,5798.0209578637
0.212939,51.579345,"0","Unknown","Darkness - lighting unknown","Data missing or out of range",20,"Urban",1,2,"niedziela","01","Night",1,26139.0877256375
-0.185647,51.457591,"0","Other","Daylight","Wet or damp",30,"Urban",1,1,"niedziela","01","Morning",1,5530.07429552878
-0.201598,51.483916,"0","Raining no high winds","Darkness - lights lit","Wet or damp",20,"Urban",1,3,"niedziela","01","Afternoon",1,4472.57750855459
-0.460544,51.458645,"0","Raining no high winds","Darkness - lights unlit","Wet or damp",30,"Rural",1,1,"niedziela","01","Night",1,22548.6982272351
-0.196517,51.576102,"0","Raining no high winds","Darkness - lights lit","Wet or damp",30,"Urban",1,1,"niedziela","01","Afternoon",1,9368.34610837241
